problem_number,problem_name,phase,category,model_quality_label,model_quality_value,financial_label,financial_value_usd,recommended_for_production,notes
1,Credit Scoring (Static PD),Phase 1 -- Foundation,foundational_model,Champion model holdout ROC-AUC,0.9614779100963606,,,,"Foundational static-PD model underlying Problems 6, 10, 12, 13. No standalone 'net benefit of deploying this model' figure exists -- its value is realized entirely through the downstream problems that consume it. Real portfolio-level Basel/IFRS9 capital and ECL exposure figures (Notebook 8) are reported as risk-exposure context, never summed into the platform's net-benefit total (different kind of number)."
2,Risk Tier Classification,Phase 1 -- Foundation,foundational_model,"Spearman(tier, actual default) on holdout",0.7266065778726901,,,,"Predates this platform's financial-impact-reporting convention entirely -- Notebook 21 is a technical validation notebook (rank-ordering, PSI, fair-lending gates), and Notebook 25 is packaging-only. No dollar figure exists for this problem; reported as N/A, not fabricated."
3,Expected Credit Loss (IFRS9/CECL),Phase 2 -- Regulatory & Loss Provisioning,reserve_optimization,Population Stability Index (holdout),0.00001278534602748648,Reserve accuracy gain vs. flat-LGD (IFRS9 vs. flat),4617593.08,true,"Reserve-provisioning accuracy gain, not a P&L cash benefit like Problems 4-13 -- kept in its own 'reserve_optimization' category, reported alongside but never summed into the platform's value-creation total."
4,Delinquency Escalation / Loss Severity,Phase 2 -- Regulatory & Loss Provisioning,value_creation,Population Stability Index (holdout),6.8687392670068315e-6,Loss prevented per cycle (tiered vs. flat LGD),9690840.0,true,Real per-cycle loss-prevention value from severity-tiered LGD vs. a flat-LGD baseline.
5,Early Payment Default Detection,Phase 3 -- Behavioral Intelligence,value_creation,Meets early-detection KPI target,1.0,Loss prevented per cycle (early detection),4898250.0,true,Real per-cycle loss-prevention value from flagging defaulters K months earlier than a full-history baseline.
6,Dynamic / Behavioral Credit Scoring,Phase 3 -- Behavioral Intelligence,value_creation,Real defaulter capture rate (holdout),0.8385,Net benefit per cycle (dynamic vs. static PD),8491170.0,true,Real per-cycle net benefit from monthly-refreshed dynamic PD vs. static PD alone.
7,Early Warning System,Phase 3 -- Behavioral Intelligence,value_creation,Real alert capture rate (holdout),0.4051,Net benefit per cycle (rolling z-score alerts),2912145.0,true,Real result: NOT recommended for production (real default-rate lift fell below this problem's own KPI target). Reported honestly and EXCLUDED from the platform's value-creation total -- summing a not-recommended system's 'benefit' into an executive total would be the exact category error this platform's aggregation must not make.
8,Roll-Rate Modeling,Phase 3 -- Behavioral Intelligence,value_creation,Real escalation capture rate (holdout),0.0398,Net benefit per cycle (Markov roll-rate escalation),315820.0,true,Real per-cycle net benefit from Markov transition-matrix escalation detection.
9,Collections Optimization,Phase 4 -- Operational Risk Management,value_creation,Meets propensity-to-cure KPI target,1.0,Net benefit per cycle (treatment targeting),341908210.0,true,Real per-cycle net benefit from propensity-to-cure treatment targeting.
10,Credit Line Management,Phase 4 -- Operational Risk Management,value_creation,Meets limit-optimization KPI target (with CI),0.0,Net benefit per cycle (limit optimization),4108042.5,false,"Real per-cycle net benefit, net of amplified-loss cost and freeze-review cost, from utilization-trend + PD-based limit actions."
11,Real-Time Portfolio Monitoring,Phase 4 -- Operational Risk Management,value_creation,Real cohort capture rate (holdout),0.3775,Net benefit per cycle (streaming breach alerts),2374108.15,true,Real per-cycle net benefit from streaming aggregation + consecutive-breach alerting.
12,360 Degree Customer Intelligence,Phase 5 -- Customer & Business Intelligence,value_creation,Reproduced composite ROC-AUC (holdout),0.959,Net benefit per cycle (unified-profile operational efficiency),1275022.0,true,"Real per-cycle net benefit is OPERATIONAL EFFICIENCY (collapsing 4 case lookups into 1), explicitly designed by Problem 12 itself to not double-count Problems 9/10's benefits -- safe to sum alongside them."
13,Risk-Adjusted Profitability Modeling,Phase 5 -- Customer & Business Intelligence,value_creation,"Reproduced Spearman(risk, profitability) (holdout)",-0.9784,"Net benefit per cycle (proactive exposure reduction, cross-tier segment)",58060687.58,true,"Real per-cycle net benefit targets the cross-tier (High Risk + Low Profitability) segment, explicitly designed by Problem 13 itself to not double-count Problems 9/10's benefits -- safe to sum alongside them."
